"fecha","shortCode","url","views","plays","likes","comentarios","duracion_seg","caption"
"2026-05-02","DX2escDBPnX","https://www.instagram.com/p/DX2escDBPnX/","12511","47501","1164","58","105.2","❌ Lo dejo TODO para VIVIR en la PLAYA ❌  En este video hablo de cuando probé hongos de psilocibina y lo que realmente pasó. No desde el hype ni la romantización, sino desde la experiencia real.  No fue solo “ver cosas”. Fue confrontarme. Pensamientos que normalmente evitas, emociones que no quieres sentir y partes de ti que no puedes ignorar cuando todo se intensifica. No es escape, es exposición.  La psilocibina puede abrirte la puerta a nuevas perspectivas, pero también puede confundirte si no tienes estructura interna. No es una solución mágica ni un atajo espiritual. Lo que ves ahí depende mucho de quién eres cuando entras.  Este video no promueve ni condena. Explica el contexto, los riesgos y lo que me dejó la experiencia. Porque mucha gente busca respuestas afuera sin tener claridad adentro.  Al final entendí algo simple: ninguna sustancia va a hacer el trabajo por ti.  La claridad real no se consume. Se construye.  #psilocibina #conciencia #experiencia #saludmental #despiertospodcast"
"2026-05-01","DX0D1l1B6PN","https://www.instagram.com/p/DX0D1l1B6PN/","18749","66249","1694","73","123.0","Entonces…no ves noticias?  #paz #política #guerra"
"2026-04-30","DXxSsnAEVXv","https://www.instagram.com/p/DXxSsnAEVXv/","4846","28100","432","10","53.3","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de una idea poderosa de Arthur C. Brooks sobre el propósito: muchas personas creen que lo encontrarán cuando tengan más dinero, más éxito o más reconocimiento, pero el propósito rara vez aparece ahí.  Brooks explica que una vida con sentido se sostiene en algo más profundo. El placer te da momentos, el éxito te da validación, pero el propósito te da dirección. Es lo que hace que el esfuerzo valga la pena y que el trabajo deje de sentirse vacío.  El propósito no nace solo de hacer lo que te gusta, sino de poner tus habilidades al servicio de algo más grande que tú. Cuando lo que haces ayuda, impacta o mejora la vida de otros, aparece una sensación distinta: significado.  Muchos persiguen disfrute inmediato y terminan sintiendo vacío. Otros persiguen ambición sin pausa y descubren que el logro solo no alcanza. El propósito es lo que conecta ambas cosas y evita que el éxito se vuelva hueco.  Este video explica por qué encontrar propósito no es una búsqueda romántica, sino una responsabilidad. No se trata solo de preguntarte qué quieres de la vida, sino qué necesita la vida de ti.  #proposito #sentidodevida #crecimientopersonal #conciencia #despiertospodcast"
"2026-04-29","DXuSVYjEcOs","https://www.instagram.com/p/DXuSVYjEcOs/","37893","134782","2187","79","32.2","❌ Contestando los chismes ❌  #pareja #chisme #humor"
"2026-04-28","DXsJCROjD3y","https://www.instagram.com/p/DXsJCROjD3y/","6174","26328","252","6","48","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo del código VIVA, un acrónimo que resume cuatro pilares fundamentales para construir una vida con dirección y equilibrio: Vitalidad, Iluminación, Vínculos y Ambición.  Vitalidad es tu energía base. Tu cuerpo, tu salud, tu fuerza y tu capacidad de sostener la vida que quieres construir. Sin vitalidad, todo lo demás se vuelve más difícil. Tu cuerpo no es un detalle, es la plataforma.  Iluminación es claridad. Conciencia, pensamiento profundo, conexión espiritual y entendimiento de quién eres y hacia dónde vas. No se trata solo de saber más, sino de verte con honestidad.  Vínculos son las relaciones que sostienen tu vida. Familia, pareja, amistades, comunidad. Nadie construye algo grande completamente solo. La calidad de tus vínculos define gran parte de tu paz y tu dirección.  Ambición es movimiento. La capacidad de crear, crecer, conquistar y expandirte. No como ego vacío, sino como expresión de potencial y responsabilidad con lo que podrías llegar a ser.  Este video explica cómo cuando estos cuatro pilares están alineados, tu vida deja de sentirse fragmentada. El código VIVA no es teoría. Es una forma práctica de revisar si realmente estás construyendo una vida completa.  #proposito #crecimientopersonal #disciplina #conciencia #despiertospodcast"
"2026-04-27","DXpos0ggZ9Y","https://www.instagram.com/p/DXpos0ggZ9Y/","102641","396605","7240","43","5.9","Make sure to always give up when things go hard!  #motivacion #crecimientopersonal #negocios"
"2026-04-26","DXmdta3kaUB","https://www.instagram.com/p/DXmdta3kaUB/","8577","36618","437","7","52.5","🌿 Cómo dejar la MJ?  #motivacion #crecimientopersonal #podcast"
"2026-04-22","DXcqBnLgVH1","https://www.instagram.com/p/DXcqBnLgVH1/","27121","87794","1504","159","32.3","Too much free time bro, pónganse a jalar"
"2026-04-22","DXamPrZkVud","https://www.instagram.com/p/DXamPrZkVud/","26574","92654","1224","26","80.3","❌ CONTABILIZAR TUS METAS ❌  #motivacion #crecimientopersonal #negocios"
"2026-04-20","DXXmBIegee9","https://www.instagram.com/p/DXXmBIegee9/","19598","73754","3855","17","7.2","El mejor ejemplo de masculinidad  #motivacion #crecimientopersonal #jesus"
"2026-04-19","DXVJHO_EQx7","https://www.instagram.com/p/DXVJHO_EQx7/","17214","65939","947","16","46.4","❌ EL DINERO DA LA FELICIDAD ❌  #motivacion #crecimientopersonal #negocios #podcast"
"2026-04-18","DXSFAlxEcnr","https://www.instagram.com/p/DXSFAlxEcnr/","23311","88549","865","24","71","❌ Comenta PODCAST para mandártelo ❌  #motivacion #crecimientopersonal #negocios #podcast"
"2026-04-18","DXQKsjzEdLQ","https://www.instagram.com/p/DXQKsjzEdLQ/","43790","151000","7310","53","7.2","Un secretito🫡  #motivacion #crecimientopersonal"
"2026-04-15","DXK2CKZkQy6","https://www.instagram.com/p/DXK2CKZkQy6/","21745","76316","2029","9","15.2","Pepe el pollo o pepe la CABRA??  #motivacion #crecimientopersonal #negocios"
"2026-04-15","DXIn5ETEWa8","https://www.instagram.com/p/DXIn5ETEWa8/","71548","187475","14657","86","8.3","La manada.  Un pilar fundamental para todo hombre, con quienes compartes ideas, retos, preguntas, soluciones, con quienes puedes ser vulnerable, escuchar y ayudar desde el amor, sin juicios.  Rodéate de hombres a quienes de verdad les importas, de aquellos quienes sientan suya cada victoria que logres.  De aquellos quienes buscan maxear TODOS sus stats de esta vida y construirlo todo desde el poder de Dios.  Toca construir hombres despiertos que sean un peligro para el sistema.  Deja tu “👽” si eres un hombre que busca maxear su vida."
"2026-04-14","DXIF85kE7lN","https://www.instagram.com/p/DXIF85kE7lN/","5678","28405","496","23","26.4","❌ comenta PODCAST para mandarte el video completo ❌ En este video hablo de cómo encontrar tu propósito sin romantizarlo. No es algo que aparece de la nada ni una revelación instantánea. El propósito se descubre viviendo, probando, fallando y prestando atención a lo que realmente te mueve. Mucha gente se paraliza esperando “la señal correcta”. Pero el propósito no se piensa demasiado, se construye. Empieza con curiosidad, con lo que te interesa, con lo que te duele y con lo que sientes que podrías aportar a otros. También aparece cuando combinas tres cosas: lo que te importa, lo que puedes hacer bien y lo que tiene impacto más allá de ti. Cuando esas áreas empiezan a alinearse, la dirección se vuelve más clara. Este video explica que encontrar propósito no es elegir una etiqueta para siempre, sino caminar hacia algo que te haga crecer y servir. No necesitas tener todo resuelto. Solo necesitas moverte con intención. El propósito no se encuentra sentado. Se revela mientras avanzas. #proposito #crecimientopersonal #conciencia #direccion #despiertospodcast"
"2026-04-13","DXDmW3qDJJ6","https://www.instagram.com/p/DXDmW3qDJJ6/","20596","80475","973","48","21.4","Un verdadero hombre necesita de una manada para crecer, un equipo que lo apoyen y lo impulsen en el camino, pues el camino solitario es difícil y oscuro.   Te retamos a que encuentres tu manada y juntos busquen hacer un cambio en sus vidas y en las vidas de los demás   LIFE MAXXING 🧠📚  #desarrollopersonal #crecimientopersonal #motivacion"
"2026-04-12","DXCwo9hgQcQ","https://www.instagram.com/p/DXCwo9hgQcQ/","44466","181678","2979","16","5.5","La vie est belle…  #motivacion #crecimientopersonal #disciplina"
"2026-04-08","DW4c_cOEQ_U","https://www.instagram.com/p/DW4c_cOEQ_U/","17996","78477","1274","12","6.9","No dejes que…  #motivacion #crecimientopersonal #masculino"
"2026-04-07","DW2EStAkodL","https://www.instagram.com/p/DW2EStAkodL/","6323","30830","531","12","57.4","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo del *shiny object syndrome*: la adicción a lo nuevo que te mantiene empezando cosas… pero nunca terminando nada. Nuevas ideas, nuevos proyectos, nuevas estrategias. Todo brilla al inicio. Todo promete resultados rápidos.  El problema no es la falta de oportunidades. Es el exceso de distracción. Saltas de una cosa a otra buscando el “mejor camino”, cuando en realidad el progreso viene de quedarte el tiempo suficiente en uno.  Cada vez que cambias de dirección, reinicias el proceso. Pierdes inercia, profundidad y aprendizaje real. No fallas por falta de talento, fallas por falta de consistencia.  Este video explica por qué lo que realmente funciona suele ser aburrido: repetir, ajustar, sostener. El éxito no está en encontrar algo nuevo cada semana, está en dominar lo que ya elegiste.  La novedad entretiene. La consistencia construye.  Si todo te llama la atención, nada te transforma. Y si no terminas lo que empiezas, nunca sabrás de lo que eres capaz.  #enfoque #disciplina #consistencia #mentalidad #despiertospodcast"
"2026-04-05","DWw6sTRjyYK","https://www.instagram.com/p/DWw6sTRjyYK/","4212","26047","442","17","37.1","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la pereza, no como falta de ganas, sino como una forma de autosabotaje disfrazado de comodidad. La pereza no siempre se siente pesada. A veces se siente rica, justificable, hasta “merecida”.  El problema es que la pereza no descansa, estanca. Te mantiene pensando en lo que podrías hacer sin nunca hacerlo. Y mientras más la alimentas, más difícil se vuelve salir de ahí.  No es que no sepas qué hacer. Sabes perfectamente. El gym, el trabajo, ordenar tu vida. El conflicto no es información, es ejecución. Y la pereza vive justo en ese espacio entre lo que sabes y lo que haces.  Este video explica por qué la pereza no se vence pensando más, se vence moviéndote. Acción primero, motivación después. No necesitas ganas para empezar, necesitas decisión.  La pereza te promete descanso, pero te cobra con frustración.  Y cada día que no haces lo que sabes que tienes que hacer, te alejas de la vida que dices que quieres.  #disciplina #habitos #enfoque #crecimientopersonal #despiertospodcast"
"2026-04-04","DWumHuqkVe5","https://www.instagram.com/p/DWumHuqkVe5/","50979","170491","5188","23","8.5","Never stop the cope🔥😈  #motivacion #crecimientopersonal #dinero"
"2026-04-03","DWrxNMuDi9c","https://www.instagram.com/p/DWrxNMuDi9c/","7292","37032","650","12","41.5","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la relación tóxica como uno de los enemigos más peligrosos para un hombre. No porque el amor sea malo, sino porque una mala relación te drena en silencio mientras crees que estás construyendo algo.  Una relación tóxica no siempre grita. A veces desgasta. Te quita enfoque, te roba energía, te mete en dinámicas de drama constante y te aleja de tu propósito. Empiezas a negociar tu paz por validación, tu disciplina por aprobación.  El problema es que te acostumbras. Normalizas el caos. Justificas lo que sabes que no está bien. Y poco a poco dejas de reconocerte.  Este video no habla de culpar a la otra persona. Habla de responsabilidad. De entender que elegir mal también es una decisión. Y que quedarte donde sabes que te destruyes es una forma de traicionarte.  Una buena relación te ordena. Una mala te fragmenta.  Y ningún proyecto grande se construye desde el desgaste constante.  Salir de una relación tóxica no es perder. Es recuperar dirección.  #relaciones #disciplina #proposito #saludmental #despiertospodcast"
"2026-04-02","DWotj1yEVbx","https://www.instagram.com/p/DWotj1yEVbx/","66269","189716","6197","19","10.9","“No son los sanos los que necesitan un doctor, si no los enfermos”  #cristo #dios #catolicos"
"2026-04-01","DWmntQgDda2","https://www.instagram.com/p/DWmntQgDda2/","7497","39754","503","16","66.7","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo del nopor como uno de los enemigos más silenciosos del hombre moderno. No porque sea “prohibido”, sino porque entrena tu mente a buscar gratificación sin esfuerzo y desconecta tu deseo de la realidad.  El problema no es solo moral. Es práctico. El nopor altera tu sistema de recompensa, reduce tu motivación y fragmenta tu atención. Mientras más lo consumes, menos atractivo se vuelve lo real: el trabajo, el esfuerzo, las relaciones.  Te acostumbra a recibir sin construir. A estimularte sin moverte. Y eso, poco a poco, debilita tu disciplina en todas las áreas de tu vida.  Este video no habla de culpa ni de vergüenza. Habla de entender el costo. De ver cómo algo que parece inofensivo puede afectar tu enfoque, tu energía y tu capacidad de relacionarte de forma sana.  El hombre que no controla su deseo termina siendo controlado por él. Y lo que te domina, te limita.  Recuperar el control no es represión. Es dirección.  #disciplina #control #habitos #enfoque #despiertospodcast"
"2026-03-31","DWj-CJ6AZd2","https://www.instagram.com/p/DWj-CJ6AZd2/","16775","64763","1767","31","19.6","✝️ por toda su gloria  #dios #crecimientopersonal #religion #catolicos"
"2026-03-30","DWhd7ldD2I9","https://www.instagram.com/p/DWhd7ldD2I9/","9480","43630","852","8","49.8","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo del doom scrolling y por qué es una de las formas más silenciosas de sabotear tu vida. No parece grave. No duele. No llama la atención. Pero te roba algo mucho más valioso: tu atención.  Empiezas con un video. Luego otro. Luego otro. Y cuando te das cuenta, ya pasaron 30 minutos, una hora… y no hiciste nada. No avanzaste. No pensaste. Solo consumiste.  El problema no es solo el tiempo perdido. Es el estado mental en el que te deja. Saturado, disperso, comparándote, reaccionando a todo y sin claridad para hacer lo que realmente importa.  El doom scrolling entrena tu cerebro a vivir en lo superficial. A necesitar estímulo constante. A evitar el silencio. Y mientras más lo haces, más difícil se vuelve concentrarte, trabajar y sostener disciplina.  Este video no habla de eliminar redes sociales, sino de dejar de usarlas como escape automático. De recuperar control sobre tu atención y decidir conscientemente en qué la inviertes.  Porque donde va tu atención, va tu vida. Y si se la regalas al algoritmo, alguien más está decidiendo por ti.  #enfoque #disciplina #habitos #claridadmental #despiertospodcast"
"2026-03-29","DWexO4KAbX0","https://www.instagram.com/p/DWexO4KAbX0/","378914","1204483","41284","195","8.3","Del 9-10, que tan accurate estuvo?  #hombre #relaciones #eventocanonico"
"2026-03-28","DWcUVS6DbOv","https://www.instagram.com/p/DWcUVS6DbOv/","22051","96558","2224","49","35.8","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la tentación como una realidad constante en la vida. No es algo extraño ni algo que deberías eliminar por completo. Es el campo donde se prueba tu carácter y tu dirección.  La tentación no es el problema. El problema es cuando la consientes, cuando la justificas y la conviertes en hábito. Todo empieza en lo pequeño: un pensamiento, una duda, una concesión. Y si no hay vigilancia, eso crece.  Hay una lucha interna todos los días. Entre lo que sabes que está bien y lo que te jala en el momento. Entre el orden y el impulso. Y cada decisión, por mínima que parezca, te va formando.  Este video habla de cómo enfrentar la tentación con conciencia y disciplina. Cuidar lo que ves, lo que piensas, lo que alimentas. No desde el miedo, sino desde la claridad de saber hacia dónde quieres ir.  La tentación no desaparece. Pero sí puedes volverte más fuerte que ella.  Ahí es donde se define tu carácter. Cuando eliges bien, incluso cuando es difícil.  #disciplina #control #fe #conciencia #despiertospodcast"
"2026-03-27","DWZbq16kSN7","https://www.instagram.com/p/DWZbq16kSN7/","402633","941989","33179","4155","7.0","Hoy le toca gay  #motivacion #crecimientopersonal #gym"
"2026-03-26","DWXKyvCjJly","https://www.instagram.com/p/DWXKyvCjJly/","5140","28262","465","17","51.0","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la lujuria sin romantizarla ni satanizarla. La lujuria no es solo deseo sexual, es una forma de impulso descontrolado que, si no se gestiona, termina drenando tu enfoque, tu energía y tu dirección.  El problema no es sentir deseo. Es volverte esclavo de él. Cuando todo gira alrededor de estímulo, validación y gratificación inmediata, pierdes claridad. Tomas decisiones desde el impulso, no desde el propósito.  La lujuria constante fragmenta tu atención. Te mantiene distraído, buscando el siguiente estímulo en lugar de construir algo real. Y mientras más la alimentas, más difícil se vuelve sostener disciplina en otras áreas de tu vida.  Este video no habla de reprimir ni de negar tu naturaleza. Habla de ordenarla. De entender que el deseo mal dirigido puede sabotearte, pero el deseo bien canalizado puede impulsarte.  Controlar la lujuria no es volverte frío. Es volverte libre.  #disciplina #enfoque #control #crecimientopersonal #despiertospodcast"
"2026-03-25","DWUN2hLkV5y","https://www.instagram.com/p/DWUN2hLkV5y/","38616","117187","4138","37","16.3","El himno de la vida   #motivacion #crecimientopersonal #negocios"
"2026-03-24","DWR9G1pgb6C","https://www.instagram.com/p/DWR9G1pgb6C/","209012","494095","26376","60","11.1","Quisiera que fuera solo un meme.  #motivacion #negocios #pareja"
"2026-03-23","DWPcXw0CXo_","https://www.instagram.com/p/DWPcXw0CXo_/","4092","24834","377","8","49.7","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la visualización como herramienta para construir éxito. No como fantasía vacía ni como pensamiento mágico, sino como una forma de entrenar tu mente para reconocer hacia dónde quieres ir.  Cuando te visualizas en tu mejor versión —más disciplinado, más fuerte, más claro, más enfocado— no solo estás imaginando, estás creando una referencia interna. Le estás mostrando a tu mente qué tipo de persona quieres convertirte.  La clave no es solo verlo, es sentirlo. Emocionarte con esa versión futura de ti mismo. Porque cuando conectas emocionalmente con esa imagen, tus decisiones diarias empiezan a alinearse con ella. Dejas de actuar como quien eres hoy y empiezas a actuar como quien sabes que puedes llegar a ser.  Este video explica por qué la visualización funciona mejor cuando está acompañada de acción. Imaginar sin ejecutar es escapismo. Pero imaginar con intención puede convertirse en dirección.  Antes de construir una vida distinta, primero tienes que poder verla con claridad.  #visualizacion #mentalidad #exito #crecimientopersonal #despiertospodcast"
"2026-03-22","DWM3lH8D-Ml","https://www.instagram.com/p/DWM3lH8D-Ml/","4751","28420","432","14","67.3","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de un hábito que casi nadie practica en serio: hacer en lugar de solo consumir contenido. Hoy vivimos rodeados de información, consejos, podcasts, videos y opiniones. Aprender se volvió fácil. Ejecutar sigue siendo lo raro.  El consumo constante puede dar la ilusión de progreso. Sientes que estás creciendo porque escuchas ideas, pero si no las llevas a la práctica, todo se queda en estimulación mental. Saber mucho no cambia tu vida si no haces nada con eso.  La diferencia entre quienes avanzan y quienes se quedan estancados casi siempre es simple: unos aplican y otros solo consumen. El conocimiento solo se vuelve útil cuando pasa por la fricción de la acción.  Este video habla de cambiar ese balance. Menos tiempo viendo, más tiempo haciendo. Menos teoría acumulada, más experiencia directa. Porque la claridad real no aparece solo leyendo o escuchando… aparece cuando empiezas a moverte.  Consumir inspira. Hacer transforma.  #disciplina #habitos #enfoque #crecimientopersonal #despiertospodcast"
"2026-03-21","DWKSx0sCf5y","https://www.instagram.com/p/DWKSx0sCf5y/","4595","31409","345","6","53.6","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la importancia del entrenamiento de hipertrofia y por qué desarrollar músculo va mucho más allá de la estética. No se trata solo de verse mejor, se trata de construir una base física que impacta tu energía, tu disciplina y tu salud a largo plazo.  Entrenar para hipertrofia fortalece el cuerpo, mejora la sensibilidad a la insulina, aumenta el metabolismo y protege contra el deterioro físico con los años. El músculo no es solo apariencia; es reserva metabólica, estabilidad hormonal y resiliencia física.  Pero también hay un componente mental. El entrenamiento constante te enseña paciencia, consistencia y tolerancia a la incomodidad. Cada sesión es un recordatorio de que el progreso real viene de repetir lo básico durante mucho tiempo.  Este video explica por qué trabajar el cuerpo es una forma directa de trabajar el carácter. No necesitas genética perfecta ni condiciones ideales. Solo necesitas constancia.  Construir músculo no es vanidad. Es respeto por el cuerpo que te toca habitar.  #hipertrofia #fitness #disciplina #salud #despiertospodcast"
"2026-03-20","DWHt_zhEw97","https://www.instagram.com/p/DWHt_zhEw97/","4887","29362","565","17","43.4","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de la importancia de decir la verdad. No como un ideal moral bonito, sino como una herramienta práctica para mantener orden en tu vida. Cada vez que mientes —aunque sea una mentira pequeña— empiezas a crear una realidad paralela que tarde o temprano tienes que sostener.  La mentira complica todo. Te obliga a recordar versiones, justificar acciones y proteger historias que no son reales. La verdad, en cambio, simplifica. Puede ser incómoda en el momento, pero a largo plazo mantiene tu vida más clara y más estable.  Decir la verdad también tiene que ver con respeto hacia uno mismo. Cuando empiezas a mentir constantemente, tu propia identidad se fragmenta. Terminas viviendo de forma reactiva, intentando sostener una imagen en lugar de sostener tu carácter.  Este video no habla de brutalidad disfrazada de honestidad ni de decir todo sin criterio. Habla de integridad. De construir una vida donde lo que dices, lo que piensas y lo que haces no estén peleando entre sí.  Porque cuando la verdad se vuelve un principio, muchas decisiones difíciles se vuelven más simples.  #integridad #conciencia #crecimientopersonal #disciplina #despiertospodcast"
"2026-03-19","DWErVM7kY4-","https://www.instagram.com/p/DWErVM7kY4-/","47773","178133","2079","57","12.2","Comenta tu favorito !!  #parejas #motivacion"
